Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female Bench Only Classic Masters 4 (55 – 59 years) 58KG",53,58,55,59,F,0,47,0,0,1,"[""19"",""27"",""35"",""44""]",1,1
"Female Bench Only Classic Masters 4 (55 – 59 years) 64KG",58,64,55,59,F,0,52,0,0,1,"[""20"",""28"",""36"",""44""]",1,1
"Female Bench Only Classic Masters 4 (55 – 59 years) 72KG",64,72,55,59,F,0,57,0,0,1,"[""21"",""29"",""37"",""45""]",1,1
"Female Bench Only Classic Masters 4 (55 – 59 years) 84KG",72,84,55,59,F,0,62,0,0,1,"[""22"",""30"",""38"",""46""]",1,1
"Female Bench Only Classic Masters 4 (55 – 59 years) 100KG",84,100,55,59,F,0,67,0,0,1,"[""23"",""31"",""39"",""47""]",1,1
"Female Bench Only Classic Masters 4 (55 – 59 years) 100+KG",100,500,55,59,F,0,72,0,0,1,"[""24"",""32"",""40"",""48""]",1,1
"Female Bench Only Classic Masters 5 (60 – 64 years) 48KG",1,48,60,64,F,0,32,0,0,1,"[""17"",""25"",""33"",""41"",""49""]",1,1
"Female Bench Only Classic Masters 5 (60 – 64 years) 53KG",48,53,60,64,F,0,37,0,0,1,"[""18"",""26"",""34"",""42"",""50""]",1,1
"Female Bench Only Classic Masters 5 (60 – 64 years) 58KG",53,58,60,64,F,0,42,0,0,1,"[""19"",""27"",""35"",""44"",""51""]",1,1
"Female Bench Only Classic Masters 5 (60 – 64 years) 64KG",58,64,60,64,F,0,47,0,0,1,"[""20"",""28"",""36"",""44"",""52""]",1,1
"Female Bench Only Classic Masters 5 (60 – 64 years) 72KG",64,72,60,64,F,0,52,0,0,1,"[""21"",""29"",""37"",""45"",""53""]",1,1
"Female Bench Only Classic Masters 5 (60 – 64 years) 84KG",72,84,60,64,F,0,57,0,0,1,"[""22"",""30"",""38"",""46"",""54""]",1,1
"Female Bench Only Classic Masters 5 (60 – 64 years) 100KG",84,100,60,64,F,0,62,0,0,1,"[""23"",""31"",""39"",""47"",""55""]",1,1
"Female Bench Only Classic Masters 5 (60 – 64 years) 100+KG",100,500,60,64,F,0,67,0,0,1,"[""24"",""32"",""40"",""48"",""56""]",1,1
"Female Bench Only Classic Masters 6 (65 – 69 years) 48KG",1,48,65,69,F,0,28,0,0,1,"[""17"",""25"",""33"",""41"",""49"",""57""]",1,1
"Female Bench Only Classic Masters 6 (65 – 69 years) 53KG",48,53,65,69,F,0,32,0,0,1,"[""18"",""26"",""34"",""42"",""50"",""58""]",1,1
"Female Bench Only Classic Masters 6 (65 – 69 years) 58KG",53,58,65,69,F,0,37,0,0,1,"[""19"",""27"",""35"",""44"",""51"",""59""]",1,1
"Female Bench Only Classic Masters 6 (65 – 69 years) 64KG",58,64,65,69,F,0,40,0,0,1,"[""20"",""28"",""36"",""44"",""52"",""60""]",1,1
"Female Bench Only Classic Masters 6 (65 – 69 years) 72KG",64,72,65,69,F,0,45,0,0,1,"[""21"",""29"",""37"",""45"",""53"",""61""]",1,1
"Female Bench Only Classic Masters 6 (65 – 69 years) 84KG",72,84,65,69,F,0,50,0,0,1,"[""22"",""30"",""38"",""46"",""54"",""62""]",1,1
"Female Bench Only Classic Masters 6 (65 – 69 years) 100KG",84,100,65,69,F,0,52,0,0,1,"[""23"",""31"",""39"",""47"",""55"",""63""]",1,1
"Female Bench Only Classic Masters 6 (65 – 69 years) 100+KG",100,500,65,69,F,0,55,0,0,1,"[""24"",""32"",""40"",""48"",""56"",""64""]",1,1
